Survived,Name,Age,SibSp,Parch,Ticket,Fare,Q,S,Pclass_2,Pclass_3,Sex_1,AgeGroup
0,"Braund, Mr. Owen Harris",22.0,1,0,A/5 21171,0.014151057562208049,0,1,0,1,1,Adulto
1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",38.0,1,0,PC 17599,0.13913573538264068,0,0,0,0,0,Adulto
1,"Heikkinen, Miss. Laina",26.0,0,0,STON/O2. 3101282,0.015468569817999833,0,1,0,1,0,Adulto
1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",35.0,1,0,113803,0.10364429745562033,0,1,0,0,0,Adulto
0,"Allen, Mr. William Henry",35.0,0,0,373450,0.015712553569072387,0,1,0,1,1,Adulto
0,"Moran, Mr. James",25.14061971830986,0,0,330877,0.01650950209357577,1,0,0,1,1,Adulto
0,"McCarthy, Mr. Timothy J",54.0,0,0,17463,0.10122885832000206,0,1,0,0,1,Adulto
0,"Palsson, Master. Gosta Leonard",2.0,3,1,349909,0.04113566043083236,0,1,0,1,1,Criança
1,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",27.0,0,2,347742,0.021730754366528396,0,1,0,1,0,Adulto
1,"Nasser, Mrs. Nicholas (Adele Achem)",14.0,1,0,237736,0.058694292654020104,0,0,1,0,0,Jovem
1,"Sandstrom, Miss. Marguerite Rut",4.0,1,1,PP 9549,0.03259622914329302,0,1,0,1,0,Criança
1,"Bonnell, Miss. Elizabeth",58.0,0,0,113783,0.051822148727810165,0,1,0,0,0,Adulto
0,"Saundercock, Mr. William Henry",20.0,0,0,A/5. 2151,0.015712553569072387,0,1,0,1,1,Adulto
0,"Andersson, Mr. Anders Johan",39.0,1,5,347082,0.06104473451835265,0,1,0,1,1,Adulto
0,"Vestrom, Miss. Hulda Amanda Adolfina",14.0,0,0,350406,0.015330377421392339,0,1,0,1,0,Jovem
1,"Hewlett, Mrs. (Mary D Kingcome) ",55.0,0,0,248706,0.03122992013728673,0,1,1,0,0,Adulto
0,"Rice, Master. Eugene",2.0,4,1,382652,0.05684821399990475,1,0,0,1,1,Criança
1,"Williams, Mr. Charles Eugene",29.87763005780347,0,0,244373,0.025374310111545468,0,1,1,0,1,Adulto
0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",31.0,1,0,345763,0.03513366015444757,0,1,0,1,0,Adulto
1,"Masselmani, Mrs. Fatima",25.14061971830986,0,0,2649,0.014102260811993537,0,0,0,1,0,Adulto
0,"Fynney, Mr. Joseph J",35.0,0,0,239865,0.050748620223090936,0,1,1,0,1,Adulto
1,"Beesley, Mr. Lawrence",34.0,0,0,248698,0.025374310111545468,0,1,1,0,1,Adulto
1,"McGowan, Miss. Anna ""Annie""",15.0,0,0,330923,0.015671954672893913,1,0,0,1,0,Jovem
1,"Sloper, Mr. William Thompson",28.0,0,0,113788,0.06929138530460494,0,1,0,0,1,Adulto
0,"Palsson, Miss. Torborg Danira",8.0,3,1,349909,0.04113566043083236,0,1,0,1,0,Criança
1,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",38.0,1,5,347077,0.06126431989431795,0,1,0,1,0,Adulto
0,"Emir, Mr. Farred Chehab",25.14061971830986,0,0,2631,0.014102260811993537,0,0,0,1,1,Adulto
0,"Fortune, Mr. Charles Alexander",19.0,3,2,19950,0.5133418122566507,0,1,0,0,1,Adulto
1,"O'Dwyer, Miss. Ellen ""Nellie""",25.14061971830986,0,0,330959,0.01537917417160685,1,0,0,1,0,Adulto
0,"Todoroff, Mr. Lalio",25.14061971830986,0,0,349216,0.015411575213749286,0,1,0,1,1,Adulto
0,"Uruchurtu, Don. Manuel E",40.0,0,0,PC 17601,0.05410739813385612,0,0,0,0,1,Adulto
1,"Spencer, Mrs. William Augustus (Marie Eugenie)",38.233440860215055,1,0,PC 17569,0.2859895551532101,0,0,0,0,0,Adulto
1,"Glynn, Miss. Mary Agatha",25.14061971830986,0,0,335677,0.015126992566498259,1,0,0,1,0,Adulto
0,"Wheadon, Mr. Edward H",66.0,0,0,C.A. 24579,0.020494635090094415,0,1,1,0,1,Idoso
0,"Meyer, Mr. Edgar Joseph",28.0,1,0,PC 17604,0.16038672010106003,0,0,0,0,1,Adulto
0,"Holverson, Mr. Alexander Oskar",42.0,1,0,113789,0.10149724044618187,0,1,0,0,1,Adulto
1,"Mamee, Mr. Hanna",25.14061971830986,0,0,2677,0.014110458666029575,0,0,0,1,1,Adulto
0,"Cann, Mr. Ernest Charles",21.0,0,0,A./5. 2152,0.015712553569072387,0,1,0,1,1,Adulto
0,"Vander Planke, Miss. Augusta Maria",18.0,2,0,345764,0.03513366015444757,0,1,0,1,0,Adulto
1,"Nicola-Yarred, Miss. Jamila",14.0,1,0,2651,0.021942337075458514,0,0,0,1,0,Jovem
0,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",40.0,1,0,7546,0.018493968331299484,0,1,0,1,0,Adulto
0,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",27.0,1,0,11668,0.04098927018018883,0,1,1,0,0,Adulto
0,"Kraeff, Mr. Theodor",25.14061971830986,0,0,349253,0.015411575213749286,0,0,0,1,1,Adulto
1,"Laroche, Miss. Simonne Marie Anne Andree",3.0,1,2,SC/Paris 2123,0.08115719346076702,0,0,1,0,0,Criança
1,"Devaney, Miss. Margaret Delia",19.0,0,0,330958,0.01537917417160685,1,0,0,1,0,Adulto
0,"Rogers, Mr. William John",25.14061971830986,0,0,S.C./A.4. 23567,0.015712553569072387,0,1,0,1,1,Adulto
0,"Lennon, Mr. Denis",25.14061971830986,1,0,370371,0.030253985132996517,1,0,0,1,1,Adulto
1,"O'Driscoll, Miss. Bridget",25.14061971830986,0,0,14311,0.015126992566498259,1,0,0,1,0,Adulto
0,"Samaan, Mr. Youssef",25.14061971830986,2,0,2662,0.04231498029001666,0,0,0,1,1,Adulto
0,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",18.0,1,0,349237,0.034743286152731485,0,1,0,1,0,Adulto
0,"Panula, Master. Juha Niilo",7.0,4,1,3101295,0.07746484096553544,0,1,0,1,1,Criança
0,"Nosworthy, Mr. Richard Cater",21.0,0,0,A/4. 39886,0.01522458606692728,0,1,0,1,1,Adulto
1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",49.0,1,0,PC 17572,0.1497654242623688,0,0,0,0,0,Adulto
1,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",29.0,1,0,2926,0.050748620223090936,0,1,1,0,0,Adulto
0,"Ostby, Mr. Engelhart Cornelius",65.0,0,1,113509,0.1209753416358076,0,0,0,0,1,Idoso
1,"Woolner, Mr. Hugh",38.233440860215055,0,0,19947,0.06929138530460494,0,1,0,0,1,Adulto
1,"Rugg, Miss. Emily",21.0,0,0,C.A. 31026,0.020494635090094415,0,1,1,0,0,Adulto
0,"Novel, Mr. Mansouer",28.5,0,0,2697,0.014110458666029575,0,0,0,1,1,Adulto
1,"West, Miss. Constance Mirium",5.0,1,2,C.A. 34651,0.05416439273810667,0,1,1,0,0,Criança
0,"Goodwin, Master. William Frederick",11.0,5,2,CA 2144,0.09154270340242172,0,1,0,1,1,Criança
0,"Sirayanian, Mr. Orsen",22.0,0,0,2669,0.014110458666029575,0,0,0,1,1,Adulto
0,"Harris, Mr. Henry Birkhardt",45.0,1,0,36973,0.16293234896625058,0,1,0,0,1,Adulto
0,"Skoog, Master. Harald",4.0,3,2,347088,0.05445717323939373,0,1,0,1,1,Criança
0,"Stewart, Mr. Albert A",38.233440860215055,0,0,PC 17605,0.05410739813385612,0,0,0,0,1,Adulto
1,"Moubarek, Master. Gerios",25.14061971830986,1,1,2661,0.029757819776815374,0,0,0,1,1,Adulto
1,"Nye, Mrs. (Elizabeth Ramell)",29.0,0,0,C.A. 29395,0.020494635090094415,0,1,1,0,0,Adulto
0,"Crease, Mr. Ernest James",19.0,0,0,S.P. 3464,0.015923941091001644,0,1,0,1,1,Adulto
1,"Andersson, Miss. Erna Alexandra",17.0,4,2,3101281,0.015468569817999833,0,1,0,1,0,Jovem
0,"Kink, Mr. Vincenz",26.0,2,0,315151,0.016908073949327893,0,1,0,1,1,Adulto
0,"Jenkin, Mr. Stephen Curnow",32.0,0,0,C.A. 33111,0.020494635090094415,0,1,1,0,1,Adulto
0,"Goodwin, Miss. Lillian Amy",16.0,5,2,CA 2144,0.09154270340242172,0,1,0,1,0,Jovem
0,"Hood, Mr. Ambrose Jr",21.0,0,0,S.O.C. 14879,0.1434624456306609,0,1,1,0,1,Adulto
0,"Chronopoulos, Mr. Apostolos",26.0,1,0,2680,0.028212719478023115,0,0,0,1,1,Adulto
1,"Bing, Mr. Lee",32.0,0,0,1601,0.11027245763075773,0,1,0,1,1,Adulto
0,"Moen, Mr. Sigurd Hansen",25.0,0,0,348123,0.014931805565640218,0,1,0,1,1,Adulto
0,"Staneff, Mr. Ivan",25.14061971830986,0,0,349208,0.015411575213749286,0,1,0,1,1,Adulto
0,"Moutal, Mr. Rahamin Haim",25.14061971830986,0,0,374746,0.015712553569072387,0,1,0,1,1,Adulto
1,"Caldwell, Master. Alden Gates",0.83,0,2,248738,0.056604230248832196,0,1,1,0,1,Criança
1,"Dowdell, Miss. Elizabeth",30.0,0,0,364516,0.024349578357040744,0,1,0,1,0,Adulto
0,"Waelens, Mr. Achille",22.0,0,0,345767,0.017566830077223785,0,1,0,1,1,Adulto
1,"Sheerlinck, Mr. Jan Baptist",29.0,0,0,345779,0.018542765081513996,0,1,0,1,1,Adulto
1,"McDermott, Miss. Brigdet Delia",25.14061971830986,0,0,330932,0.015200187691820024,1,0,0,1,0,Adulto
0,"Carrau, Mr. Francisco M",28.0,0,0,113059,0.09193307740413781,0,1,0,0,1,Adulto
1,"Ilett, Miss. Bertha",17.0,0,0,SO/C 14885,0.020494635090094415,0,1,1,0,0,Jovem
1,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",33.0,3,0,3101278,0.030937139635999665,0,1,0,1,0,Adulto
0,"Ford, Mr. William Neal",16.0,1,3,W./C. 6608,0.06709553154495196,0,1,0,1,1,Jovem
0,"Slocovski, Mr. Selman Francis",25.14061971830986,0,0,SOTON/OQ 392086,0.015712553569072387,0,1,0,1,1,Adulto
1,"Fortune, Miss. Mabel Helen",23.0,3,2,19950,0.5133418122566507,0,1,0,0,0,Adulto
0,"Celotti, Mr. Francesco",24.0,0,0,343275,0.015712553569072387,0,1,0,1,1,Adulto
0,"Christmann, Mr. Emil",29.0,0,0,343276,0.015712553569072387,0,1,0,1,1,Adulto
0,"Andreasson, Mr. Paul Edvin",20.0,0,0,347466,0.015330377421392339,0,1,0,1,1,Adulto
0,"Chaffee, Mr. Herbert Fuller",46.0,1,0,W.E.P. 5734,0.11940564777490723,0,1,0,0,1,Adulto
0,"Dean, Mr. Bertram Frank",26.0,1,2,C.A. 2315,0.04015972542654215,0,1,0,1,1,Adulto
0,"Coxon, Mr. Daniel",59.0,0,0,364500,0.014151057562208049,0,1,0,1,1,Adulto
0,"Shorney, Mr. Charles Joseph",25.14061971830986,0,0,374910,0.015712553569072387,0,1,0,1,1,Adulto
0,"Goldschmidt, Mr. George B",71.0,0,0,PC 17754,0.06764049365134761,0,0,0,0,1,Idoso
1,"Greenfield, Mr. William Bertram",23.0,0,1,PC 17759,0.12366716556464086,0,0,0,0,1,Adulto
1,"Doling, Mrs. John T (Ada Julia Bone)",34.0,0,1,231919,0.044893010197349675,0,1,1,0,0,Adulto
0,"Kantor, Mr. Sinai",34.0,1,0,244367,0.050748620223090936,0,1,1,0,1,Adulto
0,"Petranec, Miss. Matilda",28.0,0,0,349245,0.015411575213749286,0,1,0,1,0,Adulto
0,"Petroff, Mr. Pastcho (""Pentcho"")",25.14061971830986,0,0,349215,0.015411575213749286,0,1,0,1,1,Adulto
0,"White, Mr. Richard Frasar",21.0,0,1,35281,0.15085515328815924,0,1,0,0,1,Adulto
0,"Johansson, Mr. Gustaf Joel",33.0,0,0,7540,0.016891873428256675,0,1,0,1,1,Adulto
0,"Gustafsson, Mr. Anders Vilhelm",37.0,2,0,3101276,0.015468569817999833,0,1,0,1,1,Adulto
0,"Mionoff, Mr. Stoytcho",28.0,0,0,349207,0.015411575213749286,0,1,0,1,1,Adulto
1,"Salkjelsvik, Miss. Anna Kristine",21.0,0,0,343120,0.014931805565640218,0,1,0,1,0,Adulto
1,"Moss, Mr. Albert Johan",25.14061971830986,0,0,312991,0.015175789316712771,0,1,0,1,1,Adulto
0,"Rekic, Mr. Tido",38.0,0,0,349249,0.015411575213749286,0,1,0,1,1,Adulto
1,"Moran, Miss. Bertha",25.14061971830986,1,0,371110,0.04713766070721715,1,0,0,1,0,Adulto
0,"Porter, Mr. Walter Chamberlain",47.0,0,0,110465,0.10149724044618187,0,1,0,0,1,Adulto
0,"Zabour, Miss. Hileni",14.5,1,0,2665,0.028212719478023115,0,0,0,1,0,Jovem
0,"Barton, Mr. David John",22.0,0,0,324669,0.015712553569072387,0,1,0,1,1,Adulto
0,"Jussila, Miss. Katriina",20.0,1,0,4136,0.019177122834302632,0,1,0,1,0,Adulto
0,"Attalah, Miss. Malake",17.0,0,0,2627,0.028220722145058292,0,0,0,1,0,Jovem
0,"Pekoniemi, Mr. Edvard",21.0,0,0,STON/O 2. 3101294,0.015468569817999833,0,1,0,1,1,Adulto
0,"Connors, Mr. Patrick",70.5,0,0,370369,0.015126992566498259,1,0,0,1,1,Idoso
0,"Turpin, Mr. William John Robert",29.0,1,0,11668,0.04098927018018883,0,1,1,0,1,Adulto
0,"Baxter, Mr. Quigg Edmond",24.0,0,1,PC 17558,0.4831284260198326,0,0,0,0,1,Adulto
0,"Andersson, Miss. Ellis Anna Maria",2.0,4,2,347082,0.06104473451835265,0,1,0,1,0,Criança
0,"Hickman, Mr. Stanley George",21.0,2,0,S.O.C. 14879,0.1434624456306609,0,1,1,0,1,Adulto
0,"Moore, Mr. Leonard Charles",25.14061971830986,0,0,A4. 54510,0.015712553569072387,0,1,0,1,1,Adulto
0,"Nasser, Mr. Nicholas",32.5,1,0,237736,0.058694292654020104,0,0,1,0,1,Adulto
1,"Webber, Miss. Susan",32.5,0,0,27267,0.025374310111545468,0,1,1,0,0,Adulto
0,"White, Mr. Percival Wayland",54.0,0,1,35281,0.15085515328815924,0,1,0,0,1,Adulto
1,"Nicola-Yarred, Master. Elias",12.0,1,0,2651,0.021942337075458514,0,0,0,1,1,Jovem
0,"McMahon, Mr. Martin",25.14061971830986,0,0,370372,0.015126992566498259,1,0,0,1,1,Adulto
1,"Madsen, Mr. Fridtjof Arne",24.0,0,0,C 17369,0.01393967004027879,0,1,0,1,1,Adulto
1,"Peter, Miss. Anna",25.14061971830986,1,1,2668,0.04364049521284362,0,0,0,1,0,Adulto
0,"Ekstrom, Mr. Johan",45.0,0,0,347061,0.013614293309848433,0,1,0,1,1,Adulto
0,"Drazenoic, Mr. Jozef",33.0,0,0,349241,0.015411575213749286,0,0,0,1,1,Adulto
0,"Coelho, Mr. Domingos Fernandeo",20.0,0,0,SOTON/O.Q. 3101307,0.013760683560491965,0,1,0,1,1,Adulto
0,"Robins, Mrs. Alexander A (Grace Charity Laury)",47.0,1,0,A/5. 3337,0.028302115124416098,0,1,0,1,0,Adulto
1,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",29.0,1,0,228414,0.050748620223090936,0,1,1,0,0,Adulto
0,"Sobey, Mr. Samuel James Hayden",25.0,0,0,C.A. 29178,0.025374310111545468,0,1,1,0,1,Adulto
0,"Richard, Mr. Emile",23.0,0,0,SC/PARIS 2133,0.02936744577509929,0,0,1,0,1,Adulto
1,"Newsom, Miss. Helen Monypeny",19.0,0,2,11752,0.051301584996521765,0,1,0,0,0,Adulto
0,"Futrelle, Mr. Jacques Heath",37.0,1,0,113803,0.10364429745562033,0,1,0,0,1,Adulto
0,"Osen, Mr. Olaf Elon",16.0,0,0,7534,0.01798980030808316,0,1,0,1,1,Jovem
0,"Giglio, Mr. Victor",24.0,0,0,PC 17593,0.15458810467956932,0,0,0,0,1,Adulto
0,"Boulos, Mrs. Joseph (Sultana)",25.14061971830986,0,2,2678,0.029757819776815374,0,0,0,1,0,Adulto
1,"Nysten, Miss. Anna Sofia",22.0,0,0,347081,0.015126992566498259,0,1,0,1,0,Adulto
1,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",24.0,1,0,STON/O2. 3101279,0.030937139635999665,0,1,0,1,0,Adulto
0,"Burke, Mr. Jeremiah",19.0,0,0,365222,0.013175122557917838,1,0,0,1,1,Adulto
0,"Andrew, Mr. Edgardo Samuel",18.0,0,0,231945,0.022446505098674838,0,1,1,0,1,Adulto
0,"Nicholls, Mr. Joseph Charles",19.0,1,1,C.A. 33112,0.07173122281533045,0,1,1,0,1,Adulto
1,"Andersson, Mr. August Edvard (""Wennerstrom"")",27.0,0,0,350043,0.015216388212891242,0,1,0,1,1,Adulto
0,"Ford, Miss. Robina Maggie ""Ruby""",9.0,2,2,W./C. 6608,0.06709553154495196,0,1,0,1,0,Criança
0,"Navratil, Mr. Michel (""Louis M Hoffman"")",36.5,0,2,230080,0.050748620223090936,0,1,1,0,1,Adulto
0,"Byles, Rev. Thomas Roussel Davids",42.0,0,0,244310,0.025374310111545468,0,1,1,0,1,Adulto
0,"Bateman, Rev. Robert James",51.0,0,0,S.O.P. 1166,0.02444717185746977,0,1,1,0,1,Adulto
1,"Pears, Mrs. Thomas (Edith Wearne)",22.0,1,0,113776,0.12999454257145598,0,1,0,0,0,Adulto
0,"Meo, Mr. Alfonzo",55.5,0,0,A.5. 11206,0.015712553569072387,0,1,0,1,1,Adulto
0,"van Billiard, Mr. Austin Blyler",40.5,0,2,A/5. 851,0.028302115124416098,0,1,0,1,1,Adulto
0,"Olsen, Mr. Ole Martin",25.14061971830986,0,0,Fa 265302,0.014273049437744325,0,1,0,1,1,Adulto
0,"Williams, Mr. Charles Duane",51.0,0,1,PC 17597,0.11980421963065935,0,0,0,0,1,Adulto
1,"Gilnagh, Miss. Katherine ""Katie""",16.0,0,0,35851,0.015094396337354966,1,0,0,1,0,Jovem
0,"Corn, Mr. Harry",30.0,0,0,SOTON/OQ 392090,0.015712553569072387,0,1,0,1,1,Adulto
0,"Smiljanic, Mr. Mile",25.14061971830986,0,0,315037,0.016908073949327893,0,1,0,1,1,Adulto
0,"Sage, Master. Thomas Henry",25.14061971830986,8,2,CA. 2343,0.13575255909676825,0,1,0,1,1,Adulto
0,"Cribb, Mr. John Hatfield",44.0,0,1,371362,0.031425107138144774,0,1,0,1,1,Adulto
1,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",40.0,0,0,C.A. 33595,0.030741952635141623,0,1,1,0,0,Adulto
0,"Bengtsson, Mr. John Viktor",26.0,0,0,347068,0.015175789316712771,0,1,0,1,1,Adulto
0,"Calic, Mr. Jovo",17.0,0,0,315093,0.016908073949327893,0,1,0,1,1,Jovem
0,"Panula, Master. Eino Viljami",1.0,4,1,3101295,0.07746484096553544,0,1,0,1,1,Criança
1,"Goldsmith, Master. Frank John William ""Frankie""",9.0,0,2,363291,0.04006213192611313,0,1,0,1,1,Criança
1,"Chibnall, Mrs. (Edith Martha Bowerman)",38.233440860215055,0,1,113505,0.10735285047192313,0,1,0,0,0,Adulto
0,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",45.0,1,4,347088,0.05445717323939373,0,1,0,1,0,Adulto
0,"Baumann, Mr. John D",38.233440860215055,0,0,PC 17318,0.050602229972447406,0,1,0,0,1,Adulto
0,"Ling, Mr. Lee",28.0,0,0,1601,0.11027245763075773,0,1,0,1,1,Adulto
0,"Van der hoef, Mr. Wyckoff",61.0,0,0,111240,0.06538764528744409,0,1,0,0,1,Idoso
0,"Rice, Master. Arthur",4.0,4,1,382652,0.05684821399990475,1,0,0,1,1,Criança
1,"Johnson, Miss. Eleanor Ileen",1.0,1,1,347742,0.021730754366528396,0,1,0,1,0,Criança
0,"Sivola, Mr. Antti Wilhelm",21.0,0,0,STON/O 2. 3101280,0.015468569817999833,0,1,0,1,1,Adulto
0,"Smith, Mr. James Clinch",56.0,0,0,17764,0.05991421140938287,0,0,0,0,1,Adulto
0,"Klasen, Mr. Klas Albin",18.0,1,1,350404,0.015330377421392339,0,1,0,1,1,Adulto
0,"Lefebre, Master. Henry Forbes",25.14061971830986,3,1,4133,0.049707687947515,0,1,0,1,1,Adulto
0,"Isham, Miss. Ann Elizabeth",50.0,0,0,PC 17595,0.05604306762136532,0,0,0,0,0,Adulto
0,"Hale, Mr. Reginald",30.0,0,0,250653,0.025374310111545468,0,1,1,0,1,Adulto
0,"Leonard, Mr. Lionel",36.0,0,0,LINE,0.0,0,1,0,1,1,Adulto
0,"Sage, Miss. Constance Gladys",25.14061971830986,8,2,CA. 2343,0.13575255909676825,0,1,0,1,0,Adulto
0,"Pernot, Mr. Rene",29.87763005780347,0,0,SC/PARIS 2131,0.02937564362913533,0,0,1,0,1,Adulto
0,"Asplund, Master. Clarence Gustaf Hugo",9.0,4,2,347077,0.06126431989431795,0,1,0,1,1,Criança
1,"Becker, Master. Richard F",1.0,2,1,230136,0.07612293033463641,0,1,1,0,1,Criança
1,"Kink-Heilmann, Miss. Luise Gretchen",4.0,0,2,315153,0.04298993693898376,0,1,0,1,0,Criança
0,"Rood, Mr. Hugh Roscoe",38.233440860215055,0,0,113767,0.09759350042902103,0,1,0,0,1,Adulto
1,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",25.14061971830986,1,0,370365,0.030253985132996517,1,0,0,1,0,Adulto
1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",45.0,0,0,111428,0.051822148727810165,0,1,0,0,1,Adulto
0,"Bourke, Mr. John",40.0,1,1,364849,0.030253985132996517,1,0,0,1,1,Adulto
0,"Turcin, Mr. Stjepan",36.0,0,0,349247,0.015411575213749286,0,1,0,1,1,Adulto
1,"Pinsky, Mrs. (Rosa)",32.0,0,0,234604,0.025374310111545468,0,1,1,0,0,Adulto
0,"Carbines, Mr. William",19.0,0,0,28424,0.025374310111545468,0,1,1,0,1,Adulto
1,"Andersen-Jensen, Miss. Carla Christine Nielsine",19.0,1,0,350046,0.015330377421392339,0,1,0,1,0,Adulto
1,"Navratil, Master. Michel M",3.0,1,1,230080,0.050748620223090936,0,1,1,0,1,Criança
1,"Brown, Mrs. James Joseph (Margaret Tobin)",44.0,0,0,PC 17610,0.05410739813385612,0,0,0,0,0,Adulto
1,"Lurette, Miss. Elise",58.0,0,0,PC 17569,0.2859895551532101,0,0,0,0,0,Adulto
0,"Mernagh, Mr. Robert",25.14061971830986,0,0,368703,0.015126992566498259,1,0,0,1,1,Adulto
0,"Olsen, Mr. Karl Siegwart Andreas",42.0,0,1,4579,0.01640390592611157,0,1,0,1,1,Adulto
1,"Madigan, Miss. Margaret ""Maggie""",25.14061971830986,0,0,370370,0.015126992566498259,1,0,0,1,0,Adulto
0,"Yrois, Miss. Henriette (""Mrs Harbeck"")",24.0,0,0,248747,0.025374310111545468,0,1,1,0,0,Adulto
0,"Vande Walle, Mr. Nestor Cyriel",28.0,0,0,345770,0.018542765081513996,0,1,0,1,1,Adulto
0,"Sage, Mr. Frederick",25.14061971830986,8,2,CA. 2343,0.13575255909676825,0,1,0,1,1,Adulto
0,"Johanson, Mr. Jakob Alfred",34.0,0,0,3101264,0.012678957201736696,0,1,0,1,1,Adulto
0,"Youseff, Mr. Gerious",45.5,0,0,2628,0.014102260811993537,0,0,0,1,1,Adulto
1,"Cohen, Mr. Gurshon ""Gus""",18.0,0,0,A/5 3540,0.015712553569072387,0,1,0,1,1,Adulto
0,"Strom, Miss. Telma Matilda",2.0,0,1,347054,0.02042143996477265,0,1,0,1,0,Criança
0,"Backstrom, Mr. Karl Alfred",32.0,1,0,3101278,0.030937139635999665,0,1,0,1,1,Adulto
1,"Albimona, Mr. Nassef Cassem",26.0,0,0,2699,0.036670757786204655,0,0,0,1,1,Adulto
1,"Carr, Miss. Helen ""Ellen""",16.0,0,0,367231,0.015126992566498259,1,0,0,1,0,Jovem
1,"Blank, Mr. Henry",40.0,0,0,112277,0.060507970265993034,0,0,0,0,1,Adulto
0,"Ali, Mr. Ahmed",24.0,0,0,SOTON/O.Q. 3101311,0.013760683560491965,0,1,0,1,1,Adulto
1,"Cameron, Miss. Clear Annie",35.0,0,0,F.C.C. 13528,0.04098927018018883,0,1,1,0,0,Adulto
0,"Perkin, Mr. John Henry",22.0,0,0,A/5 21174,0.014151057562208049,0,1,0,1,1,Adulto
0,"Givard, Mr. Hans Kristensen",30.0,0,0,250646,0.025374310111545468,0,1,1,0,1,Adulto
0,"Kiernan, Mr. Philip",25.14061971830986,1,0,367229,0.015126992566498259,1,0,0,1,1,Adulto
1,"Newell, Miss. Madeleine",31.0,1,0,35273,0.22109807522194713,0,0,0,0,0,Adulto
1,"Honkanen, Miss. Eliina",27.0,0,0,STON/O2. 3101283,0.015468569817999833,0,1,0,1,0,Adulto
0,"Jacobsohn, Mr. Sidney Samuel",42.0,1,0,243847,0.05270049023167135,0,1,1,0,1,Adulto
1,"Bazzani, Miss. Albina",32.0,0,0,11813,0.14891148113361488,0,0,0,0,0,Adulto
0,"Harris, Mr. Walter",30.0,0,0,W/C 14208,0.020494635090094415,0,1,1,0,1,Adulto
1,"Sunderland, Mr. Victor Francis",16.0,0,0,SOTON/OQ 392089,0.015712553569072387,0,1,0,1,1,Jovem
